naca,source,t,camber,x_t,x_c,LE_radius,TE_angle,t_over_xt,area,alpha,Re,CFD_CL,CFD_CM,CFD_CD,LD
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-6.0,100000.0,-0.389984,0.0981899,-0.0210616,-3.97173
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-5.5,100000.0,-0.373627,0.0978293,-0.0234284,-3.81918
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-5.0,100000.0,-0.325291,0.0925019,-0.0398798,-3.51659
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-4.5,100000.0,-0.283109,0.0801767,-0.0521036,-3.53107
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-4.0,100000.0,-0.229249,0.0677949,-0.0692188,-3.38151
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-3.5,100000.0,-0.178981,0.0626123,-0.0732682,-2.85856
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-3.0,100000.0,-0.0779016,0.0539962,-0.0812711,-1.44272
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-2.5,100000.0,0.0280991,0.0498747,-0.10874,0.563394
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-2.0,100000.0,0.126388,0.0421031,-0.121299,3.00187
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-1.5,100000.0,0.23632,0.0329363,-0.130208,7.17506
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-1.0,100000.0,0.298266,0.0355767,-0.13178,8.38375
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,-0.5,100000.0,0.365067,0.0322488,-0.143008,11.3203
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,0.0,100000.0,0.445504,0.0247391,-0.143347,18.0081
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,0.5,100000.0,0.506959,0.0298959,-0.135754,16.9575
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,1.0,100000.0,0.56467,0.0287647,-0.1476,19.6306
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,1.5,100000.0,0.623202,0.0287435,-0.134801,21.6814
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,2.0,100000.0,0.71051,0.0269081,-0.140466,26.405
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,2.5,100000.0,0.75561,0.0288688,-0.139643,26.1739
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,3.0,100000.0,0.877837,0.03073,-0.151969,28.5661
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,3.5,100000.0,0.905176,0.0290987,-0.141135,31.1071
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,4.0,100000.0,0.992579,0.0261044,-0.158741,38.0234
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,4.5,100000.0,1.04388,0.0260853,-0.144446,40.0181
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,5.0,100000.0,1.15202,0.0250618,-0.150914,45.967
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,5.5,100000.0,1.20048,0.0225479,-0.143627,53.2413
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,6.0,100000.0,1.28697,0.0232165,-0.170048,55.4335
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,6.5,100000.0,1.37674,0.0206833,-0.152347,66.5627
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,7.0,100000.0,1.38697,0.0179039,-0.148106,77.4678
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,7.5,100000.0,1.43139,0.0236669,-0.144737,60.4805
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,8.0,100000.0,1.3953,0.0222524,-0.128878,62.7035
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,8.5,100000.0,1.45925,0.0242576,-0.123723,60.1566
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,9.0,100000.0,1.45752,0.0292387,-0.123421,49.849
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,9.5,100000.0,1.44929,0.0298275,-0.121306,48.589
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,10.0,100000.0,1.49665,0.033941,-0.108473,44.0958
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,10.5,100000.0,1.49337,0.0338179,-0.10666,44.1592
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,11.0,100000.0,1.51547,0.0379953,-0.102213,39.8858
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,11.5,100000.0,1.58042,0.0467836,-0.097436,33.7816
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,12.0,100000.0,1.60402,0.0461271,-0.105258,34.774
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,12.5,100000.0,1.6213,0.0501085,-0.0818493,32.3559
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,13.0,100000.0,1.63444,0.0548004,-0.0908639,29.8253
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,13.5,100000.0,1.61565,0.0612027,-0.085684,26.3984
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,14.0,100000.0,1.73388,0.0608553,-0.0792878,28.4919
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,14.5,100000.0,1.58516,0.0719868,-0.0699883,22.0201
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,15.0,100000.0,1.60351,0.0750127,-0.0761717,21.3765
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,15.5,100000.0,1.58574,0.081102,-0.0734113,19.5524
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,16.0,100000.0,1.51339,0.0988382,-0.0775717,15.3118
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,16.5,100000.0,1.6132,0.104396,-0.0772775,15.4527
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,17.0,100000.0,1.54529,0.113775,-0.0792971,13.582
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,17.5,100000.0,1.27021,0.164166,-0.104646,7.73737
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,18.0,100000.0,0.937484,0.234495,-0.138231,3.99788
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,18.5,100000.0,0.885092,0.239575,-0.132212,3.69443
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,19.0,100000.0,0.935069,0.238195,-0.138094,3.92565
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,19.5,100000.0,0.934489,0.237775,-0.1383,3.93014
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,20.0,100000.0,0.986456,0.239196,-0.141172,4.12404
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,20.5,100000.0,0.947987,0.227805,-0.129262,4.1614
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,21.0,100000.0,0.963958,0.229016,-0.1282,4.20913
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,21.5,100000.0,0.940232,0.241935,-0.122581,3.8863
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,22.0,100000.0,0.919293,0.229543,-0.139355,4.00489
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,22.5,100000.0,0.901147,0.234864,-0.131946,3.83689
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,23.0,100000.0,0.935902,0.241975,-0.133922,3.86776
SG_6043,airfoil_tools,0.1,0.051,0.321,0.533,0.01,0.0,0.3115,0.05,23.5,100000.0,0.973341,0.233389,-0.117625,4.17047
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-6.0,400000.0,-0.699764,0.0113857,0.00627871,-61.46
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-5.5,400000.0,-0.662709,0.0113832,0.0128679,-58.2182
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-5.0,400000.0,-0.621134,0.0108678,0.0112685,-57.1536
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-4.5,400000.0,-0.618377,0.00986401,0.0166879,-62.6902
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-4.0,400000.0,-0.504676,0.00835053,0.00999624,-60.4364
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-3.5,400000.0,-0.42507,0.00818083,0.00502913,-51.9593
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-3.0,400000.0,-0.354746,0.00738108,0.00101879,-48.0616
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-2.5,400000.0,-0.274029,0.00920897,-0.00137859,-29.7568
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-2.0,400000.0,-0.228668,0.00665535,-0.00438495,-34.3585
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-1.5,400000.0,-0.151442,0.00775375,0.00301805,-19.5314
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-1.0,400000.0,-0.0986575,0.00807454,-0.00188038,-12.2184
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,-0.5,400000.0,-0.0476919,0.00642404,-0.000436523,-7.42398
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,0.0,400000.0,-0.0030913,0.00644309,-0.000970727,-0.479786
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,0.5,400000.0,0.0517535,0.00905975,-0.00184657,5.71246
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,1.0,400000.0,0.107559,0.00530454,0.00280234,20.2768
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,1.5,400000.0,0.165349,0.00729537,0.00297315,22.6649
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,2.0,400000.0,0.20684,0.00831903,0.00391876,24.8635
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,2.5,400000.0,0.28359,0.0081275,0.00222643,34.8926
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,3.0,400000.0,0.387047,0.0092605,-0.00436851,41.7955
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,3.5,400000.0,0.43476,0.00841931,-0.00287494,51.6385
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,4.0,400000.0,0.493533,0.00957482,-0.00844459,51.5449
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,4.5,400000.0,0.604375,0.00902671,-0.0154155,66.9541
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,5.0,400000.0,0.621095,0.0102127,-0.00906468,60.8159
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,5.5,400000.0,0.684112,0.010191,-0.00895863,67.1291
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,6.0,400000.0,0.769753,0.0135997,-0.0121353,56.6006
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,6.5,400000.0,0.743278,0.0147048,-0.00754272,50.5464
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,7.0,400000.0,0.808576,0.0150064,-0.00514285,53.8819
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,7.5,400000.0,0.834369,0.0109213,-0.00246107,76.3981
naca0012,airfoil_tools,0.12,0.0,0.3,0.3,0.01,0.0,0.4,0.05,8.0,400000.0,0.86736,0.0144125,0.00588725,60.1812
